NumeroControl,NombreCompleto,Promedio
2117v0001,Pedro  Bautista,78
2117v0002,Maria Hernandez,43
2117v0003,Said  Sanchez,93
2117v0004,Maria Mede ,99
2117v0005,Pedro  Ontiveros,19
2117v0006,Maria Sanchez,31
2117v0007,Emilio  Hernandez,88
2117v0008,Laura Matias,59
2117v0009,Ali  de la cuz ,87
2117v0010,Flor  de la cuz ,47
2117v0011,Pedro  Sanchez,45
2117v0012,Laura Hernandez,81
2117v0013,Laura Ontiveros,50
2117v0014,Emilio  Ontiveros,86
2117v0015,Said  Vite,52
2117v0016,Juan  Santos,14
2117v0017,Uriel Sanchez,52
2117v0018,Laura Matias,28
2117v0019,Flor  Hernandez,61
2117v0020,Uriel Sanchez,79
2117v0021,Pedro  Bautista,76
2117v0022,Uriel Matias,93
2117v0023,Flor  Martinez,97
2117v0024,Abelardo  Mede ,77
2117v0025,Said  Bautista,23
2117v0026,Maria de la cuz ,12
2117v0027,Pedro  Santos,40
2117v0028,Abelardo  Matias,50
2117v0029,Juan  Martinez,62
2117v0030,Juan  Santos,19
2117v0031,Uriel Vite,98
2117v0032,Ali  Bautista,60
2117v0033,Ali  Santos,74
2117v0034,Flor  Matias,70
2117v0035,Laura Martinez,43
2117v0036,Maria Santos,35
2117v0037,Pedro  Mede ,46
2117v0038,Said  Sanchez,100
2117v0039,Abelardo  Martinez,81
2117v0040,Said  Ontiveros,47
2117v0041,Abelardo  Hernandez,5
2117v0042,Ali  Santos,60
2117v0043,Emilio  Santos,87
2117v0044,Flor  Sanchez,51
2117v0045,Abelardo  Sanchez,19
2117v0046,Juan  Santos,81
2117v0047,Flor  Mede ,99
2117v0048,Said  Bautista,36
2117v0049,Uriel Bautista,55
2117v0050,Pedro  Vite,24
2117v0051,Maria Matias,72
2117v0052,Laura Mede ,96
2117v0053,Emilio  Hernandez,42
2117v0054,Flor  Martinez,39
2117v0055,Juan  Bautista,9
2117v0056,Pedro  Vite,91
2117v0057,Uriel Matias,87
2117v0058,Ali  Matias,84
2117v0059,Laura Hernandez,90
2117v0060,Uriel Martinez,80
2117v0061,Laura Matias,70
2117v0062,Flor  Sanchez,30
2117v0063,Flor  Matias,74
2117v0064,Emilio  Matias,86
2117v0065,Uriel Sanchez,30
2117v0066,Abelardo  Hernandez,36
2117v0067,Emilio  Martinez,67
2117v0068,Laura Bautista,36
2117v0069,Emilio  Santos,4
2117v0070,Laura Hernandez,54
2117v0071,Maria Vite,52
2117v0072,Flor  Matias,89
2117v0073,Emilio  Martinez,62
2117v0074,Maria Martinez,83
2117v0075,Abelardo  Santos,20
2117v0076,Ali  Matias,37
2117v0077,Emilio  de la cuz ,97
2117v0078,Pedro  de la cuz ,14
2117v0079,Ali  de la cuz ,87
2117v0080,Pedro  Sanchez,36
2117v0081,Uriel Matias,71
2117v0082,Said  de la cuz ,9
2117v0083,Laura de la cuz ,13
2117v0084,Abelardo  Hernandez,66
2117v0085,Pedro  Sanchez,92
2117v0086,Juan  Ontiveros,70
2117v0087,Uriel de la cuz ,74
2117v0088,Laura Mede ,49
2117v0089,Maria Hernandez,48
2117v0090,Uriel Vite,89
2117v0091,Uriel Ontiveros,93
2117v0092,Uriel Matias,10
2117v0093,Pedro  Santos,40
2117v0094,Laura Hernandez,13
2117v0095,Maria Hernandez,75
2117v0096,Abelardo  Matias,5
2117v0097,Uriel Santos,100
2117v0098,Laura Vite,31
2117v0099,Flor  Hernandez,19
2117v0100,Laura Hernandez,73
2117v0101,Maria Santos,54
2117v0102,Uriel Santos,47
2117v0103,Said  Sanchez,46
2117v0104,Uriel Bautista,20
2117v0105,Flor  de la cuz ,38
2117v0106,Maria Matias,72
2117v0107,Ali  Ontiveros,64
2117v0108,Abelardo  Ontiveros,49
2117v0109,Said  Santos,12
2117v0110,Said  Matias,75
2117v0111,Ali  de la cuz ,30
2117v0112,Pedro  Vite,70
2117v0113,Emilio  Martinez,25
2117v0114,Laura Hernandez,88
2117v0115,Laura Vite,1
2117v0116,Said  Vite,63
2117v0117,Laura Hernandez,31
2117v0118,Uriel Bautista,64
2117v0119,Abelardo  Santos,27
2117v0120,Juan  de la cuz ,88
2117v0121,Said  Ontiveros,35
2117v0122,Emilio  Sanchez,70
2117v0123,Uriel Ontiveros,53
2117v0124,Abelardo  Ontiveros,14
2117v0125,Ali  Ontiveros,59
2117v0126,Pedro  Vite,33
2117v0127,Abelardo  Matias,40
2117v0128,Emilio  Hernandez,32
2117v0129,Emilio  Mede ,12
2117v0130,Laura Matias,55
2117v0131,Said  de la cuz ,75
2117v0132,Abelardo  Martinez,61
2117v0133,Uriel Mede ,83
2117v0134,Emilio  Bautista,67
2117v0135,Abelardo  Vite,1
2117v0136,Emilio  Martinez,40
2117v0137,Juan  Matias,51
2117v0138,Emilio  Santos,27
2117v0139,Laura Sanchez,86
2117v0140,Said  Mede ,49
2117v0141,Maria Matias,43
2117v0142,Flor  Matias,93
2117v0143,Uriel Vite,68
2117v0144,Juan  Martinez,53
2117v0145,Uriel Santos,93
2117v0146,Uriel Matias,78
2117v0147,Uriel de la cuz ,21
2117v0148,Juan  Martinez,52
2117v0149,Said  Vite,9
2117v0150,Laura Santos,17
2117v0151,Pedro  Hernandez,2
2117v0152,Laura Bautista,22
2117v0153,Maria Santos,84
2117v0154,Flor  Ontiveros,95
2117v0155,Flor  Hernandez,42
2117v0156,Said  Vite,98
2117v0157,Ali  Matias,99
2117v0158,Abelardo  Hernandez,1
2117v0159,Maria Vite,80
2117v0160,Laura Vite,17
2117v0161,Abelardo  Hernandez,86
2117v0162,Juan  de la cuz ,19
2117v0163,Laura Bautista,56
2117v0164,Emilio  Ontiveros,97
2117v0165,Maria Mede ,54
2117v0166,Juan  Hernandez,72
2117v0167,Abelardo  Mede ,94
2117v0168,Ali  Santos,92
2117v0169,Juan  Santos,53
2117v0170,Uriel Mede ,39
2117v0171,Uriel Vite,84
2117v0172,Pedro  Bautista,3
2117v0173,Flor  Mede ,96
2117v0174,Pedro  Martinez,5
2117v0175,Said  Mede ,8
2117v0176,Maria Bautista,66
2117v0177,Juan  Mede ,25
2117v0178,Emilio  Santos,62
2117v0179,Uriel Bautista,36
2117v0180,Emilio  Bautista,62
2117v0181,Juan  Mede ,99
2117v0182,Said  Bautista,15
2117v0183,Uriel Sanchez,7
2117v0184,Abelardo  Sanchez,82
2117v0185,Ali  Sanchez,97
2117v0186,Flor  Hernandez,87
2117v0187,Juan  de la cuz ,10
2117v0188,Maria Santos,70
2117v0189,Uriel Ontiveros,31
2117v0190,Laura Bautista,36
2117v0191,Flor  Ontiveros,82
2117v0192,Maria Martinez,36
2117v0193,Maria Santos,19
2117v0194,Juan  Martinez,18
2117v0195,Emilio  Hernandez,74
2117v0196,Emilio  Hernandez,29
2117v0197,Uriel de la cuz ,25
2117v0198,Laura Mede ,14
2117v0199,Laura Bautista,91
2117v0200,Said  Vite,65
2117v0201,Maria Santos,8
2117v0202,Ali  Vite,34
2117v0203,Maria Bautista,4
2117v0204,Flor  de la cuz ,58
2117v0205,Maria Matias,100
2117v0206,Flor  Ontiveros,1
2117v0207,Abelardo  de la cuz ,37
2117v0208,Maria Ontiveros,29
2117v0209,Abelardo  Ontiveros,81
2117v0210,Abelardo  Hernandez,78
2117v0211,Emilio  Matias,27
2117v0212,Flor  Mede ,58
2117v0213,Laura de la cuz ,11
2117v0214,Uriel Sanchez,65
2117v0215,Emilio  Matias,35
2117v0216,Said  de la cuz ,54
2117v0217,Emilio  Santos,21
2117v0218,Uriel Sanchez,59
2117v0219,Pedro  Ontiveros,5
2117v0220,Flor  Hernandez,64
2117v0221,Ali  Matias,62
2117v0222,Ali  Martinez,29
2117v0223,Emilio  Ontiveros,21
2117v0224,Said  de la cuz ,26
2117v0225,Juan  Ontiveros,57
2117v0226,Juan  Ontiveros,12
2117v0227,Abelardo  Bautista,30
2117v0228,Ali  Santos,12
2117v0229,Uriel Sanchez,58
2117v0230,Emilio  Bautista,24
2117v0231,Emilio  Vite,93
2117v0232,Ali  Mede ,97
2117v0233,Pedro  Matias,67
2117v0234,Uriel Bautista,6
2117v0235,Said  Hernandez,80
2117v0236,Uriel Matias,2
2117v0237,Ali  Hernandez,8
2117v0238,Emilio  Mede ,7
2117v0239,Said  Hernandez,78
2117v0240,Juan  Martinez,91
2117v0241,Emilio  de la cuz ,78
2117v0242,Maria de la cuz ,53
2117v0243,Flor  de la cuz ,51
2117v0244,Uriel Sanchez,72
2117v0245,Ali  Bautista,20
2117v0246,Flor  Hernandez,79
2117v0247,Pedro  Vite,74
2117v0248,Flor  Matias,84
2117v0249,Juan  Sanchez,74
2117v0250,Flor  Ontiveros,21
2117v0251,Laura Mede ,57
2117v0252,Pedro  Vite,66
2117v0253,Juan  Mede ,88
2117v0254,Ali  Hernandez,94
2117v0255,Emilio  Sanchez,40
2117v0256,Juan  Santos,20
2117v0257,Pedro  Santos,67
2117v0258,Emilio  Vite,32
2117v0259,Ali  Ontiveros,20
2117v0260,Juan  Martinez,78
2117v0261,Juan  Vite,44
2117v0262,Juan  Sanchez,98
2117v0263,Uriel Santos,62
2117v0264,Ali  Mede ,15
2117v0265,Ali  Matias,52
2117v0266,Laura Sanchez,93
2117v0267,Said  Santos,13
2117v0268,Ali  Sanchez,26
2117v0269,Maria Matias,4
2117v0270,Pedro  Hernandez,8
2117v0271,Emilio  de la cuz ,84
2117v0272,Flor  Vite,62
2117v0273,Flor  Matias,26
2117v0274,Flor  Martinez,65
2117v0275,Maria Ontiveros,38
2117v0276,Abelardo  Bautista,32
2117v0277,Maria Vite,53
2117v0278,Juan  Santos,29
2117v0279,Pedro  Matias,94
2117v0280,Flor  Sanchez,53
2117v0281,Pedro  Matias,11
2117v0282,Pedro  Hernandez,6
2117v0283,Juan  Mede ,82
2117v0284,Emilio  Bautista,40
2117v0285,Juan  Ontiveros,15
2117v0286,Uriel Martinez,48
2117v0287,Ali  Bautista,11
2117v0288,Maria Vite,57
2117v0289,Emilio  Matias,32
2117v0290,Ali  Matias,1
2117v0291,Emilio  Bautista,5
2117v0292,Said  Santos,81
2117v0293,Uriel Vite,40
2117v0294,Emilio  Ontiveros,76
2117v0295,Emilio  Vite,79
2117v0296,Juan  Vite,90
2117v0297,Juan  Mede ,32
2117v0298,Said  Hernandez,11
2117v0299,Maria Matias,49
2117v0300,Ali  Ontiveros,46
2117v0301,Abelardo  Mede ,67
2117v0302,Maria Bautista,84
2117v0303,Laura de la cuz ,15
2117v0304,Pedro  Ontiveros,84
2117v0305,Juan  Bautista,54
2117v0306,Maria Sanchez,66
2117v0307,Abelardo  Matias,98
2117v0308,Juan  Vite,59
2117v0309,Uriel Vite,70
2117v0310,Said  Matias,69
2117v0311,Flor  Vite,59
2117v0312,Abelardo  Matias,64
2117v0313,Flor  Matias,37
2117v0314,Ali  Bautista,54
2117v0315,Said  Mede ,90
2117v0316,Maria Matias,5
2117v0317,Emilio  de la cuz ,60
2117v0318,Ali  Matias,25
2117v0319,Juan  Matias,44
2117v0320,Abelardo  Vite,72
2117v0321,Abelardo  Mede ,10
2117v0322,Flor  Matias,50
2117v0323,Ali  Santos,47
2117v0324,Juan  Hernandez,39
2117v0325,Uriel Santos,85
2117v0326,Pedro  Vite,43
2117v0327,Abelardo  Santos,96
2117v0328,Maria Ontiveros,23
2117v0329,Uriel de la cuz ,65
2117v0330,Pedro  Hernandez,49
2117v0331,Said  Santos,30
2117v0332,Maria Matias,42
2117v0333,Juan  Martinez,8
2117v0334,Abelardo  Matias,72
2117v0335,Flor  Matias,60
2117v0336,Emilio  Ontiveros,90
2117v0337,Flor  Martinez,66
2117v0338,Laura Hernandez,44
2117v0339,Abelardo  Mede ,97
2117v0340,Uriel Ontiveros,76
2117v0341,Flor  Santos,5
2117v0342,Ali  Martinez,54
2117v0343,Said  Vite,46
2117v0344,Abelardo  Ontiveros,68
2117v0345,Uriel Ontiveros,83
2117v0346,Said  Martinez,68
2117v0347,Emilio  Santos,100
2117v0348,Uriel de la cuz ,72
2117v0349,Maria Mede ,52
2117v0350,Maria Matias,95
2117v0351,Flor  Matias,97
2117v0352,Flor  Santos,29
2117v0353,Laura de la cuz ,76
2117v0354,Flor  de la cuz ,8
2117v0355,Emilio  Sanchez,85
2117v0356,Emilio  Hernandez,90
2117v0357,Ali  Hernandez,56
2117v0358,Pedro  Hernandez,33
2117v0359,Laura Martinez,87
2117v0360,Pedro  Mede ,55
2117v0361,Said  Hernandez,97
2117v0362,Juan  Sanchez,98
2117v0363,Said  Hernandez,67
2117v0364,Flor  Ontiveros,9
2117v0365,Abelardo  Mede ,68
2117v0366,Pedro  de la cuz ,28
2117v0367,Said  de la cuz ,57
2117v0368,Said  Mede ,86
2117v0369,Abelardo  Mede ,26
2117v0370,Juan  Mede ,65
2117v0371,Laura Hernandez,84
2117v0372,Laura Martinez,9
2117v0373,Abelardo  de la cuz ,39
2117v0374,Flor  Hernandez,22
2117v0375,Emilio  Sanchez,6
2117v0376,Juan  Martinez,18
2117v0377,Laura Sanchez,29
2117v0378,Laura Bautista,30
2117v0379,Emilio  Vite,89
2117v0380,Ali  Matias,75
2117v0381,Said  Sanchez,66
2117v0382,Ali  Bautista,59
2117v0383,Juan  Mede ,71
2117v0384,Maria Martinez,83
2117v0385,Pedro  Matias,14
2117v0386,Flor  Vite,57
2117v0387,Uriel Santos,56
2117v0388,Abelardo  Santos,2
2117v0389,Juan  Vite,81
2117v0390,Said  Vite,38
2117v0391,Juan  Hernandez,96
2117v0392,Emilio  Ontiveros,82
2117v0393,Laura de la cuz ,48
2117v0394,Said  de la cuz ,28
2117v0395,Abelardo  Martinez,92
2117v0396,Ali  Sanchez,49
2117v0397,Abelardo  Mede ,74
2117v0398,Pedro  Hernandez,1
2117v0399,Said  Ontiveros,39
2117v0400,Said  Santos,57
2117v0401,Uriel Sanchez,12
2117v0402,Laura Matias,60
2117v0403,Flor  Matias,2
2117v0404,Said  Sanchez,99
2117v0405,Uriel de la cuz ,21
2117v0406,Pedro  Bautista,13
2117v0407,Laura Mede ,70
2117v0408,Abelardo  Ontiveros,40
2117v0409,Flor  Bautista,93
2117v0410,Emilio  Santos,26
2117v0411,Emilio  Hernandez,21
2117v0412,Juan  Matias,3
2117v0413,Laura Hernandez,92
2117v0414,Pedro  Santos,39
2117v0415,Maria Mede ,91
2117v0416,Ali  Vite,92
2117v0417,Juan  Bautista,90
2117v0418,Juan  Matias,70
2117v0419,Maria Matias,8
2117v0420,Pedro  Matias,55
2117v0421,Maria Sanchez,63
2117v0422,Flor  Sanchez,87
2117v0423,Uriel Martinez,82
2117v0424,Said  Sanchez,29
2117v0425,Juan  Ontiveros,70
2117v0426,Juan  Ontiveros,15
2117v0427,Said  Hernandez,59
2117v0428,Abelardo  Bautista,96
2117v0429,Maria Mede ,44
2117v0430,Pedro  Martinez,21
2117v0431,Ali  Santos,56
2117v0432,Said  Santos,68
2117v0433,Flor  Sanchez,90
2117v0434,Said  Hernandez,69
2117v0435,Emilio  Mede ,27
2117v0436,Flor  Matias,62
2117v0437,Uriel Ontiveros,90
2117v0438,Flor  Vite,62
2117v0439,Abelardo  Vite,37
2117v0440,Said  de la cuz ,99
2117v0441,Juan  Matias,37
2117v0442,Flor  Mede ,21
2117v0443,Said  de la cuz ,37
2117v0444,Said  de la cuz ,36
2117v0445,Maria Vite,79
2117v0446,Laura Bautista,1
2117v0447,Laura Mede ,96
2117v0448,Uriel Ontiveros,63
2117v0449,Maria Sanchez,59
2117v0450,Abelardo  Mede ,65
2117v0451,Maria Vite,28
2117v0452,Maria Bautista,79
2117v0453,Said  Ontiveros,14
2117v0454,Maria de la cuz ,67
2117v0455,Ali  Mede ,71
2117v0456,Emilio  Bautista,47
2117v0457,Laura Vite,38
2117v0458,Said  Bautista,50
2117v0459,Pedro  Matias,76
2117v0460,Juan  Matias,92
2117v0461,Emilio  Ontiveros,47
2117v0462,Maria Hernandez,25
2117v0463,Emilio  Ontiveros,38
2117v0464,Said  Hernandez,87
2117v0465,Uriel Sanchez,41
2117v0466,Ali  Mede ,2
2117v0467,Juan  Vite,29
2117v0468,Emilio  Sanchez,98
2117v0469,Said  Sanchez,100
2117v0470,Pedro  Hernandez,93
2117v0471,Emilio  Bautista,58
2117v0472,Maria Ontiveros,30
2117v0473,Laura Santos,60
2117v0474,Juan  de la cuz ,83
2117v0475,Juan  Santos,51
2117v0476,Abelardo  Sanchez,37
2117v0477,Emilio  Mede ,65
2117v0478,Juan  Bautista,50
2117v0479,Juan  Martinez,97
2117v0480,Uriel Hernandez,73
2117v0481,Pedro  Martinez,21
2117v0482,Ali  Matias,55
2117v0483,Pedro  Sanchez,40
2117v0484,Laura de la cuz ,49
2117v0485,Said  Bautista,42
2117v0486,Juan  Mede ,72
2117v0487,Flor  Santos,51
2117v0488,Abelardo  Matias,2
2117v0489,Said  Mede ,45
2117v0490,Uriel de la cuz ,52
2117v0491,Emilio  Vite,14
2117v0492,Ali  Santos,44
2117v0493,Emilio  Martinez,3
2117v0494,Pedro  Bautista,96
2117v0495,Emilio  Sanchez,98
2117v0496,Ali  Matias,61
2117v0497,Ali  Mede ,15
2117v0498,Maria Hernandez,92
2117v0499,Ali  Martinez,82
2117v0500,Emilio  Sanchez,17
2117v0501,Pedro  de la cuz ,64
2117v0502,Laura de la cuz ,39
2117v0503,Said  Santos,91
2117v0504,Abelardo  de la cuz ,26
2117v0505,Emilio  Matias,63
2117v0506,Pedro  Bautista,52
2117v0507,Ali  Martinez,72
2117v0508,Juan  Ontiveros,35
2117v0509,Abelardo  Santos,23
2117v0510,Said  Ontiveros,72
2117v0511,Emilio  Santos,39
2117v0512,Laura de la cuz ,84
2117v0513,Uriel Hernandez,22
2117v0514,Pedro  Matias,22
2117v0515,Flor  de la cuz ,24
2117v0516,Juan  Sanchez,64
2117v0517,Uriel Sanchez,19
2117v0518,Uriel Matias,70
2117v0519,Abelardo  Bautista,68
2117v0520,Abelardo  Vite,69
2117v0521,Juan  Matias,56
2117v0522,Laura Bautista,82
2117v0523,Said  Ontiveros,68
2117v0524,Maria Martinez,7
2117v0525,Flor  Matias,38
2117v0526,Pedro  Ontiveros,61
2117v0527,Flor  Martinez,17
2117v0528,Abelardo  Ontiveros,24
2117v0529,Flor  Mede ,56
2117v0530,Laura Mede ,20
2117v0531,Said  Martinez,51
2117v0532,Uriel Martinez,31
2117v0533,Flor  Martinez,89
2117v0534,Emilio  Santos,18
2117v0535,Pedro  Vite,36
2117v0536,Maria Mede ,3
2117v0537,Emilio  Matias,29
2117v0538,Ali  Ontiveros,77
2117v0539,Uriel Ontiveros,31
2117v0540,Pedro  Martinez,31
2117v0541,Flor  Martinez,18
2117v0542,Uriel Matias,37
2117v0543,Said  de la cuz ,98
2117v0544,Juan  Santos,24
2117v0545,Flor  Santos,17
2117v0546,Uriel Bautista,96
2117v0547,Abelardo  Santos,9
2117v0548,Abelardo  de la cuz ,93
2117v0549,Pedro  Santos,30
2117v0550,Uriel Bautista,71
2117v0551,Laura Bautista,57
2117v0552,Juan  Ontiveros,32
2117v0553,Juan  Ontiveros,73
2117v0554,Laura Martinez,17
2117v0555,Pedro  Vite,100
2117v0556,Laura Martinez,93
2117v0557,Flor  de la cuz ,96
